productId,productName
5ed67c50cb07110fd03bc8ea,Skewer Szechuan Chicken BBQ
5ed67c50cb07110fd03bc8eb,Skewer Szechuan Mutton BBQ
5ed67c50cb07110fd03bc8ec,Skewer Szechuan Beef BBQ
5ed67c50cb07110fd03bc8ed,China Town Sea Food Soup
5ed67c50cb07110fd03bc8ee,Soup With Szechuan Pickle Vegetable & Sliced Fish
5ed67c50cb07110fd03bc8ef,Savoured Chicken
5ed67c50cb07110fd03bc8f0,Cucumber Sliced With Garlic Sauce
5ed67c50cb07110fd03bc8f1,Flavored Mutton Chop
5ed67c50cb07110fd03bc8f2,China Town Special Platter
5ed67c50cb07110fd03bc8f3,Fish With Oyster Sauce
5ed67c50cb07110fd03bc8f4,Fried Crabs With Curry
5ed67c50cb07110fd03bc8f5,Double Fried Crab With Mushroom
5ed67c50cb07110fd03bc8f6,Braised Yellow Fish
5ed67c50cb07110fd03bc8f7,Steamed Fish
5ed67c50cb07110fd03bc8f8,Beef Chillies Dry
5ed67c50cb07110fd03bc8f9,Kung Pao Shrimp
5ed67c50cb07110fd03bc8fa,Fried Chicken With Pickled Chilli
5ed67c50cb07110fd03bc8fb,Quick Fried Chicken Silver
5ed67c50cb07110fd03bc8fc,Combo 1
5ed67c50cb07110fd03bc8fd,Combo 2
5ed67c50cb07110fd03bc8fe,Combo 3
5ed67c50cb07110fd03bc8ff,Combo 4
5ed67c50cb07110fd03bc900,Combo 5
5ed67c50cb07110fd03bc901,Stewed Shark's Fin Crab Soup
5ed67c50cb07110fd03bc902,Stewed Shark's Fin Chicken Soup
5ed67c50cb07110fd03bc903,Crab Corn Soup
5ed67c50cb07110fd03bc904,China Town Special Soup
5ed67c50cb07110fd03bc905,Special Hot & Sour Soup
5ed67c50cb07110fd03bc906,Asparagus In Chicken Soup
5ed67c50cb07110fd03bc907,Asparagus In Crab Soup
5ed67c50cb07110fd03bc908,Chicken Noodle Soup
5ed67c50cb07110fd03bc909,Chicken Corn Soup
5ed67c50cb07110fd03bc90a,Slice Chicken Vegetable Soup
5ed67c50cb07110fd03bc90b,Wonton Soup
5ed67c50cb07110fd03bc90c,Chicken Thai Soup
5ed67c50cb07110fd03bc90d,Mongolian Hot Pot Soup
5ed67c50cb07110fd03bc90e,Szechuan Tofu Soup
5ed67c50cb07110fd03bc90f,Special Thai Soup
5ed67c50cb07110fd03bc910,Canton Fish
5ed67c50cb07110fd03bc911,Hot & Spicy Fish
5ed67c50cb07110fd03bc912,Fried Squirrel Like Fish
5ed67c50cb07110fd03bc913,Fish Cracker
5ed67c50cb07110fd03bc914,Garlic Fish
5ed67c50cb07110fd03bc915,Sweet & Sour Fish
5ed67c50cb07110fd03bc916,Fish With Green Chillies With Vegetable
5ed67c50cb07110fd03bc917,Fried Finger Fish
5ed67c50cb07110fd03bc918,China Town Chillies Dry
5ed67c50cb07110fd03bc919,Crum Fried Fish
5ed67c50cb07110fd03bc91a,Szechuan Tofu
5ed67c50cb07110fd03bc91b,Beef Chillies Gravy
5ed67c50cb07110fd03bc91c,Hot & Spicy Beef
5ed67c50cb07110fd03bc91d,China Town Beef Chillies Dry
5ed67c50cb07110fd03bc91e,Paper Beef
5ed67c50cb07110fd03bc91f,Shredded Beef Chillies Dry
5ed67c50cb07110fd03bc920,Beef With Oyster Sauce
5ed67c50cb07110fd03bc921,Beef With Vegetbale & Chillies
5ed67c50cb07110fd03bc922,Szechuan Beef
5ed67c50cb07110fd03bc923,Crumb Fried Chicken
5ed67c50cb07110fd03bc924,Fried Wonton
5ed67c50cb07110fd03bc925,Chicken Almond & Vegetable
5ed67c50cb07110fd03bc926,Sweet & Sour Chicken
5ed67c50cb07110fd03bc927,Chicken With Vegetable
5ed67c50cb07110fd03bc928,Chicken With Pineapple
5ed67c50cb07110fd03bc929,Chicken With Chillies Gravy
5ed67c50cb07110fd03bc92a,Fried Spring Chicken
5ed67c50cb07110fd03bc92b,Chicken With Mushroom & Veg
5ed67c50cb07110fd03bc92c,Fried Chicken In Hot Sauce
5ed67c50cb07110fd03bc92d,Hot & Spicy Chicken Szechuan
5ed67c50cb07110fd03bc92e,Chicken Drumsticks
5ed67c50cb07110fd03bc92f,China Town Chicken Chilli Dry
5ed67c50cb07110fd03bc930,Chicken In Garlic Sauce
5ed67c50cb07110fd03bc931,Lemon Chicken
5ed67c50cb07110fd03bc932,Chicken Manchurian
5ed67c50cb07110fd03bc933,Kung Pao Chicken
5ed67c50cb07110fd03bc934,Chicken With Oyster Sauce
5ed67c50cb07110fd03bc935,Chicken Spring Rolls
