productId,productName
1,Skewer Szechuan Chicken BBQ
2,Skewer Szechuan Mutton BBQ
3,Skewer Szechuan Beef BBQ
4,China Town Sea Food Soup
5,Soup With Szechuan Pickle Vegetable & Sliced Fish
6,Savoured Chicken
7,Cucumber Sliced With Garlic Sauce
8,Flavored Mutton Chop
9,China Town Special Platter
10,Fish With Oyster Sauce
11,Fried Crabs With Curry
12,Double Fried Crab With Mushroom
13,Braised Yellow Fish
14,Steamed Fish
15,Beef Chillies Dry
16,Kung Pao Shrimp
17,Fried Chicken With Pickled Chilli
18,Quick Fried Chicken Silver
19,Combo 1
20,Combo 2
21,Combo 3
22,Combo 4
23,Combo 5
24,Stewed Shark's Fin Crab Soup
25,Stewed Shark's Fin Chicken Soup
26,Crab Corn Soup
27,China Town Special Soup
28,Special Hot & Sour Soup
29,Asparagus In Chicken Soup
30,Asparagus In Crab Soup
31,Chicken Noodle Soup
32,Chicken Corn Soup
33,Slice Chicken Vegetable Soup
34,Wonton Soup
35,Chicken Thai Soup
36,Mongolian Hot Pot Soup
37,Szechuan Tofu Soup
38,Special Thai Soup
39,Canton Fish
40,Hot & Spicy Fish
41,Fried Squirrel Like Fish
42,Fish Cracker
43,Garlic Fish
44,Sweet & Sour Fish
45,Fish With Green Chillies With Vegetable
46,Fried Finger Fish
47,China Town Chillies Dry
48,Crum Fried Fish
49,Szechuan Tofu
50,Beef Chillies Gravy
51,Hot & Spicy Beef
52,China Town Beef Chillies Dry
53,Paper Beef
54,Shredded Beef Chillies Dry
55,Beef With Oyster Sauce
56,Beef With Vegetbale & Chillies
57,Szechuan Beef
58,Crumb Fried Chicken
59,Fried Wonton
60,Chicken Almond & Vegetable
61,Sweet & Sour Chicken
62,Chicken With Vegetable
63,Chicken With Pineapple
64,Chicken With Chillies Gravy
65,Fried Spring Chicken
66,Chicken With Mushroom & Veg
67,Fried Chicken In Hot Sauce
68,Hot & Spicy Chicken Szechuan
69,Chicken Drumsticks
70,China Town Chicken Chilli Dry
71,Chicken In Garlic Sauce
72,Lemon Chicken
73,Chicken Manchurian
74,Kung Pao Chicken
75,Chicken With Oyster Sauce
76,Chicken Spring Rolls
77,Paper Chicken
78,Fish Flavor Chicken
79,Szechuan Chicken
80,Red Pepper Chicken
81,Chicken Chillies & Vegetable
82,King Size Butter Fly Prawns
83,Prawns With Green Chillies & VEg
84,Sweet & Sour Prawns
85,Prawn On Toast
86,Prawns In Garlic Sauce
87,Fried Prawns
88,China Town Prawns Chilli Dryu
89,Hot & Spicy Prawns Szechuan
90,Special Fried Prawns Tail On
91,China Town Sizzling Prawns
92,Special Garli Prawns
93,Hot Sauce Prawns
94,Red Roast Prawns In Shell
95,Egg Fried Rice
96,Chicken & Prawn Fried Rice
97,Plain Rice
98,Chicken Masala Rice
99,Steam Rice With Chicken & Mushroom
100,Shrimp Fried Rice
101,Chicken Fried Rice
102,Vegetable Fried Rice
103,Beef Chilli Fried Rice
104,Stir Fried Vegetables
105,Green Salad
106,Assorted Green Vegetable
107,China Town Chopsuey
108,Chinese Chopsuey
109,American Chopsuey
110,Prawn Chopsuey
111,Chicken Chopsuey
112,Chicken Chowmein
113,Prawn Chowmein
114,Beef Chowmein
115,Vegetable Chowmein
116,Chicken Prawn Chowmein
117,Szechuan Chowmein
118,Foodpanda Exclusive Deal
119,Daal Mash Fry
120,Daal Chana Fry
121,Moong Masoor Daal Fry
122,Kurri Pakora Rice
123,Anda Ghotala
124,Murgh Chana Fry
125,Anda Chana Fry
126,Chicken Qeema Fry
127,Sabzi Masala
128,Chicken Masala 
129,Chicken Laccha
130,Chicken White
131,Chicken Vegetable Fry
